ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21583,HX451755,10/02/2014 04:00:00 AM,019XX E 78TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0414,004,8,43,01A,1190855,1853687,2014,10/09/2014 12:39:21 PM,41.753531539,-87.57615023,"(41.753531539, -87.57615023)"
21581,HX449928,09/30/2014 05:45:00 PM,026XX E 73RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0334,003,7,43,01A,1194954,1857537,2014,10/07/2014 12:37:10 PM,41.76399625,-87.561002511,"(41.76399625, -87.561002511)"
21582,HX448978,09/30/2014 04:17:00 AM,006XX N RIDGEWAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1122,011,27,23,01A,1151238,1903824,2014,10/31/2014 03:20:56 PM,41.891979343,-87.720021384,"(41.891979343, -87.720021384)"
21580,HX448843,09/29/2014 11:20:00 PM,009XX S INDEPENDENCE BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1133,011,24,29,01A,1151442,1895650,2014,10/31/2014 03:20:56 PM,41.869545003,-87.719486893,"(41.869545003, -87.719486893)"
21578,HX447404,09/28/2014 11:42:00 PM,085XX S ESCANABA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0423,004,10,46,01A,1196924,1848994,2014,10/05/2014 12:38:21 PM,41.740504871,-87.554065763,"(41.740504871, -87.554065763)"
21577,HX447276,09/28/2014 08:36:00 PM,026XX W 66TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0831,008,15,66,01A,1159747,1860734,2014,10/05/2014 12:38:21 PM,41.773564282,-87.689956706,"(41.773564282, -87.689956706)"
21589,HX442273,09/28/2014 05:50:00 PM,085XX S COTTAGE GROVE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0632,006,8,44,01A,1183086,1848722,2014,10/08/2014 12:41:09 PM,41.740091146,-87.604774499,"(41.740091146, -87.604774499)"
21576,HX446571,09/28/2014 08:53:00 AM,034XX N ODELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,1631,016,36,17,01A,1126516,1922229,2014,10/05/2014 12:38:21 PM,41.942934136,-87.810403989,"(41.942934136, -87.810403989)"
21575,HX446571,09/28/2014 08:53:00 AM,034XX N ODELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,1631,016,36,17,01A,1126516,1922229,2014,10/05/2014 12:38:21 PM,41.942934136,-87.810403989,"(41.942934136, -87.810403989)"
21574,HX445686,09/27/2014 04:19:00 PM,065XX S MINERVA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,20,42,01A,1185053,1861691,2014,10/04/2014 12:38:27 PM,41.775633425,-87.597161129,"(41.775633425, -87.597161129)"
21573,HX445136,09/27/2014 06:59:00 AM,045XX S HERMITAGE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0924,009,20,61,01A,1165409,1874262,2014,10/04/2014 12:38:27 PM,41.810568672,-87.668817673,"(41.810568672, -87.668817673)"
21572,HX444807,09/26/2014 10:41:00 PM,057XX S ABERDEEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0712,007,16,68,01A,1170003,1866740,2014,10/03/2014 12:39:14 PM,41.789828765,-87.652186026,"(41.789828765, -87.652186026)"
21571,HX444151,09/26/2014 03:00:00 PM,019XX W 59TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,BARBER SHOP/BEAUTY SALON,false,false,0714,007,15,67,01A,1164069,1865487,2014,10/03/2014 12:39:14 PM,41.786517322,-87.67397954,"(41.786517322, -87.67397954)"
21579,HW270329,09/23/2014 10:24:00 AM,082XX S MARYLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0631,006,8,44,01A,1183302,1850411,2014,09/30/2014 12:40:12 PM,41.744720925,-87.603930659,"(41.744720925, -87.603930659)"
21569,HX439220,09/22/2014 09:35:00 PM,078XX S HOMAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0835,008,18,70,01A,1155029,1852577,2014,09/29/2014 12:37:44 PM,41.751275738,-87.707469569,"(41.751275738, -87.707469569)"
