geoid,B17001001 - Total:,B17001002 - Income in the past 12 months below poverty level:,B19057001 - Total:,B19057002 - With public assistance income,B11001002 - Family households:,"B11001006 - Female householder, no husband present",B23025003 - Civilian labor force:,B23025005 - Unemployed,B02001001 - Total:,B02001003 - Black or African American alone,B03001001 - Total:,B03001003 - Hispanic or Latino:,B05002001 - Total:,B05002009 - Born outside the United States:,B07001001 - Total:,B07001017 - Same house 1 year ago:,B25003001 - Total:,B25003002 - Owner occupied
14000US17031611100,2507,1210,716,108,553,173,1175,287,2564,443,2564,2023,2564,36,2517,2157,716,196
14000US17031611200,2299,1000,582,125,470,107,898,244,2319,493,2319,1653,2319,24,2262,2052,582,222
14000US17031611300,3011,1113,782,103,564,126,1314,287,3011,402,3011,2339,3011,0,2928,2667,782,248
14000US17031611400,3759,1090,932,191,792,137,1793,213,3759,180,3759,3290,3759,55,3744,3498,932,434
14000US17031611500,2843,594,831,33,612,80,1171,204,2932,275,2932,2517,2932,20,2890,2674,831,348
14000US17031611600,1885,814,402,136,278,140,914,410,1978,1602,1978,376,1978,6,1942,1801,402,200
14000US17031611700,1388,526,397,117,310,154,535,178,1388,991,1388,340,1388,5,1308,1224,397,225
14000US17031611800,2278,1005,631,146,507,260,956,277,2278,1290,2278,784,2278,24,2253,1700,631,233
14000US17031611900,2120,941,546,157,398,226,787,356,2139,1875,2139,199,2139,18,2094,1514,546,164
14000US17031612000,1593,636,451,87,361,173,689,235,1598,1460,1598,121,1598,12,1524,1332,451,230
14000US17031612100,1180,414,415,72,224,146,476,145,1180,1049,1180,24,1180,0,1170,1049,415,184
14000US17031620100,4715,862,1201,51,939,265,2419,463,4748,209,4748,3877,4748,83,4681,4192,1201,960
14000US17031620200,2505,322,712,76,539,137,1331,220,2535,10,2535,1774,2535,0,2449,1873,712,440
14000US17031620300,6933,1266,1938,77,1487,292,3536,465,6981,72,6981,5131,6981,119,6871,6044,1938,1423
14000US17031620400,5244,1058,1225,131,1094,160,2429,472,5253,87,5253,4620,5253,18,5199,4873,1225,880
14000US17031630100,1069,336,306,48,255,99,607,116,1069,227,1069,803,1069,0,1069,889,306,103
14000US17031630200,2131,653,541,13,431,77,999,109,2131,10,2131,1950,2131,44,2131,1931,541,190
14000US17031630300,5715,1138,1266,82,1139,258,2699,545,5760,18,5760,5413,5760,77,5735,4859,1266,824
14000US17031630400,6995,2252,1655,89,1317,211,3224,680,7118,0,7118,6777,7118,21,6903,6280,1655,882
14000US17031630500,6218,1212,1447,67,1290,181,3230,522,6251,106,6251,5840,6251,32,6155,5818,1447,705
14000US17031630800,6766,2167,1650,165,1293,262,3167,545,6860,317,6860,6144,6860,13,6751,6355,1650,1030
14000US17031630900,4772,1185,1221,30,920,82,2451,507,4899,65,4899,4596,4899,100,4839,4109,1221,617
14000US17031640100,1104,49,446,21,279,76,620,77,1104,0,1104,715,1104,12,1027,886,446,245
14000US17031640300,6817,425,2286,51,1674,320,3946,459,6828,12,6828,3040,6828,12,6778,6357,2286,1946
14000US17031640400,3475,250,1219,0,895,228,1852,139,3475,0,3475,1398,3475,11,3462,3034,1219,942
14000US17031640500,3110,198,1305,24,836,140,1684,210,3111,64,3111,923,3111,16,3097,2923,1305,1061
